"tick","Remaining Humans","Remaining Zombies"
1.0,1,150
2.0,2,150
3.0,2,150
4.0,3,150
5.0,3,150
6.0,4,150
7.0,5,150
8.0,5,150
9.0,5,150
10.0,6,150
11.0,6,150
12.0,6,150
13.0,6,150
14.0,6,150
15.0,6,150
16.0,6,150
17.0,7,150
18.0,7,150
19.0,7,150
20.0,7,150
21.0,7,150
22.0,7,150
23.0,7,150
24.0,8,150
25.0,8,150
26.0,9,150
27.0,9,150
28.0,9,150
29.0,10,150
30.0,10,150
31.0,10,150
32.0,10,150
33.0,10,150
34.0,11,150
35.0,11,150
36.0,11,150
37.0,11,150
38.0,12,150
39.0,12,150
40.0,12,150
41.0,12,150
42.0,12,150
43.0,12,150
44.0,12,150
45.0,12,150
46.0,13,150
47.0,13,150
48.0,13,150
49.0,13,150
50.0,13,150
51.0,13,150
52.0,13,150
53.0,13,150
54.0,14,150
55.0,14,150
56.0,14,150
57.0,14,150
58.0,14,150
59.0,14,150
60.0,14,150
61.0,14,150
62.0,14,150
63.0,14,150
64.0,14,150
65.0,14,150
66.0,14,150
67.0,14,150
68.0,14,150
69.0,14,150
70.0,14,150
71.0,14,150
72.0,14,150
73.0,14,150
74.0,14,150
75.0,14,150
76.0,14,150
77.0,14,150
78.0,14,150
79.0,14,150
80.0,14,150
81.0,14,150
82.0,14,150
83.0,14,150
84.0,14,150
85.0,14,150
86.0,14,150
87.0,14,150
88.0,14,150
89.0,14,150
90.0,14,150
91.0,14,150
92.0,14,150
93.0,14,150
94.0,14,150
95.0,14,150
96.0,14,150
97.0,14,150
98.0,14,150
99.0,14,150
100.0,14,150
101.0,14,150
102.0,14,150
103.0,14,150
104.0,14,150
105.0,14,150
106.0,14,150
107.0,14,150
108.0,14,150
109.0,14,150
110.0,14,150
111.0,14,150
112.0,14,150
113.0,14,150
114.0,14,150
115.0,14,150
116.0,14,150
117.0,14,150
118.0,14,150
119.0,14,150
120.0,14,150
121.0,14,150
122.0,14,150
123.0,14,150
124.0,14,150
125.0,14,150
126.0,14,150
127.0,14,150
128.0,14,150
129.0,14,150
130.0,14,150
131.0,14,150
132.0,14,150
133.0,14,150
134.0,14,150
135.0,14,150
136.0,14,150
137.0,14,150
138.0,14,150
139.0,14,150
140.0,14,150
141.0,14,150
142.0,14,150
143.0,14,150
144.0,14,150
145.0,14,150
146.0,14,150
147.0,14,150
148.0,14,150
149.0,14,150
150.0,14,150
151.0,14,150
152.0,14,150
153.0,14,150
154.0,14,150
155.0,14,150
156.0,14,150
157.0,14,150
158.0,14,150
159.0,14,150
160.0,14,150
161.0,14,150
162.0,14,150
163.0,14,150
164.0,14,150
165.0,14,150
166.0,14,150
167.0,14,150
168.0,14,150
169.0,14,150
170.0,14,150
171.0,14,150
172.0,14,150
173.0,14,150
174.0,14,150
175.0,14,150
176.0,14,150
177.0,14,150
178.0,14,150
179.0,14,150
180.0,14,150
181.0,14,150
182.0,14,150
183.0,14,150
184.0,14,150
185.0,14,150
186.0,14,150
187.0,14,150
188.0,14,150
189.0,14,150
190.0,14,150
191.0,14,150
192.0,14,150
193.0,14,150
194.0,14,150
195.0,14,150
196.0,14,150
197.0,14,150
198.0,14,150
199.0,14,150
200.0,14,150
201.0,14,150
202.0,14,150
203.0,14,150
204.0,14,150
205.0,14,150
206.0,14,150
207.0,14,150
208.0,14,150
209.0,14,150
210.0,14,150
211.0,14,150
212.0,14,150
213.0,14,150
214.0,14,150
215.0,14,150
216.0,14,150
217.0,14,150
218.0,14,150
219.0,14,150
220.0,14,150
221.0,14,150
222.0,14,150
223.0,14,150
224.0,14,150
225.0,14,150
226.0,14,150
227.0,14,150
228.0,14,150
229.0,14,150
230.0,14,150
231.0,14,150
232.0,14,150
233.0,14,150
234.0,14,150
235.0,14,150
236.0,14,150
237.0,14,150
238.0,14,150
239.0,14,150
240.0,14,150
241.0,14,150
242.0,14,150
243.0,14,150
244.0,14,150
245.0,14,150
246.0,14,150
247.0,14,150
248.0,14,150
249.0,14,150
250.0,14,150
251.0,14,150
252.0,14,150
253.0,14,150
254.0,14,150
255.0,14,150
256.0,14,150
257.0,14,150
258.0,14,150
259.0,14,150
260.0,14,150
261.0,14,150
262.0,14,150
263.0,14,150
264.0,14,150
265.0,14,150
266.0,14,150
267.0,14,150
268.0,14,150
269.0,14,150
270.0,14,150
271.0,14,150
272.0,14,150
273.0,14,150
274.0,14,150
275.0,14,150
276.0,14,150
277.0,14,150
278.0,14,150
279.0,14,150
280.0,14,150
281.0,14,150
282.0,14,150
283.0,14,150
