"tick","Remaining Humans","Remaining Zombies"
1.0,1,150
2.0,2,150
3.0,3,150
4.0,3,150
5.0,3,150
6.0,4,150
7.0,4,150
8.0,5,150
9.0,5,150
10.0,6,150
11.0,6,150
12.0,7,150
13.0,7,150
14.0,8,150
15.0,9,150
16.0,9,150
17.0,9,150
18.0,10,150
19.0,10,150
20.0,11,150
21.0,12,150
22.0,12,150
23.0,12,150
24.0,13,150
25.0,13,150
26.0,14,150
27.0,14,150
28.0,14,150
29.0,15,150
30.0,15,150
31.0,16,150
32.0,16,150
33.0,17,150
34.0,17,150
35.0,18,150
36.0,18,150
37.0,19,150
38.0,20,150
39.0,20,150
40.0,20,150
41.0,20,150
42.0,20,150
43.0,21,150
44.0,21,150
45.0,22,150
46.0,23,150
47.0,23,150
48.0,23,150
49.0,23,150
50.0,24,150
51.0,24,150
52.0,24,150
53.0,24,150
54.0,24,150
55.0,24,150
56.0,24,150
57.0,24,150
58.0,25,150
59.0,25,150
60.0,26,150
61.0,26,150
62.0,26,150
63.0,26,150
64.0,26,150
65.0,26,150
66.0,26,150
67.0,26,150
68.0,26,150
69.0,26,150
70.0,26,150
71.0,26,150
72.0,26,150
73.0,26,150
74.0,26,150
75.0,26,150
76.0,26,150
77.0,26,150
78.0,26,150
79.0,26,150
80.0,26,150
81.0,27,150
82.0,27,150
83.0,27,150
